"","Adipose tissues","Adrenal glands","B-cells","Brain","Colon","Esophagus","Heart","Liver","Lung","Neutrophils","Pancreas","Small intestines","T-cells","Placenta"
"H21",0.32927952870377,0.00369041103018901,0.041450543098747,0,0.015795104979249,0.0397094317572146,0,0.126738615107127,0.0431107623457599,0.400225602977944,0,0,0,0
"H31",0.125216908306779,0.000847276598090825,0.0661527201090347,0,0.0103913867926352,0.0454201272115216,0.103584901253619,0.0175062465930446,0.0678047230283448,0.465668518182056,0.00457532332265322,0.0908672633290756,0.00196460527314529,0
"H32",0.056205331960901,0.0109940988473546,0.000493535808333625,0.000556882141931527,0.0290530094921094,0,0.0917653447036003,0.0602966034539452,0,0.694789586150401,0.00918889690130044,0,0.0466567105401228,0
"H34",0.0629744471535534,0.0933325957851457,0.0330141845947118,0.0130782606249681,0.00451895236671247,0,0,0.0581172587515169,0.220695385469405,0.398042049323111,0.022531990234265,0.00303491754679244,0.0906599581498181,0
"H26",0,0,0,0,0.0135151599623952,0,0.128661691557838,0,0,0.66655528751486,0,0.124893107620321,0.0446818604223075,0.021692892922278
"H25",0.064046807427659,0.0781305079970741,0.0229292595134457,0,0,0.0653100373355546,0,0.0354485890723089,0.235616918829455,0.372735141670753,0.00767766285841014,0.0964789795143154,0.0216260957810237,0
"H24",0.0182356729838942,0.087121903310767,0.0213932303691983,0.0127154759717755,0.0207095743577751,0.0811483000216912,0,0.133918095724492,0.187930160725432,0.273711189610007,0.065607807723477,0.0155890479245138,0.0819195412769783,0
"H23",0.112400028068458,0,0.114229712970948,0.0565511863395026,0.0410451676632557,0.034984610572303,0.0417260914711051,0.0927360722701689,0.0669381555196629,0.32250525906898,0.116883716055616,0,0,0
"H22",0.144714645850655,0.0874653942540403,0.0076563855685827,0,0.0156455212118338,0,0.0425674862555074,0.0725670774449649,0.304647458129964,0.209280897966724,0.00755402929555069,0.0874080531985067,0.0204930508236708,0
"H29",0.0187785423670256,0.0326880305672209,0.0186936200088137,0.0365378163965768,0,0.0453344927307305,0.0814912421989178,0.0337026333166907,0.024194127537454,0.550717964373438,0.0447511093261951,0.101682124255421,0.0114282969215157,0
"H30",0.0911383094015809,0.0245570861015757,0.152867849094529,0,0,0.0154390076863532,0.0885941083140312,0.0380950810367313,0.11776546375554,0.456369808750915,0,0,0.0151732858587432,0
"H19",0.0978811460471582,0.0316271173311871,0.0651970805010822,0.0146783638543102,0.034882199157631,0,0.0955824314376423,0.043458776819127,0.0510245256101282,0.281297523654958,0,0.197787592873116,0.0865832427136609,0
